Student_ID,Age,Gender,Region,Urban_Rural,School_Type,Subject_Stream,Matriculation_Score,Parent_Education_Level,Number_of_Siblings,Family_Monthly_Income_MMK,Internet_Access_At_Home,English_Proficiency_Level,Family_Member_University_Graduate,Test_Prep_Course,Extracurricular_Score,Distance_to_University_km,Scholarship_Applied,Scholarship_Received,Preferred_University_Type,Chosen_Field_of_Study,Enrollment_Status
STU006253,18,Female,Yangon,Rural,Government High School,Arts,385.0,High School,2,607000.0,Yes,Intermediate,No,Yes,2.9,13.4,Yes,No,Government University,Arts & Humanities,Enrolled
STU004685,20,Female,Mandalay,Rural,Government High School,Science,329.0,High School,3,192000.0,No,Beginner,No,Yes,5.0,11.9,No,No,Technological University,Engineering,Enrolled
STU001732,17,Female,Kachin,Rural,Government High School,Science,412.0,High School,3,351000.0,Yes,Advanced,No,Yes,3.5,15.0,Yes,No,Computer University,Computer Science,Enrolled
STU004743,18,Female,Bago,Urban,Government High School,Arts,235.0,Primary School,0,348000.0,No,Intermediate,No,No,7.7,0.6400000000000001,No,No,Did Not Enroll,Undeclared/Did Not Enroll,Not Enrolled
STU004522,18,Female,Yangon,Urban,Monastic Education School,Science,,University Graduate,2,346000.0,No,Intermediate,Yes,Yes,6.5,2.44,No,No,Computer University,Computer Science,Enrolled
STU006341,19,Male,Kayin,Urban,Government High School,Arts,420.0,Middle School,2,783000.0,No,Intermediate,Yes,Yes,3.6,1.0,Yes,Yes,Did Not Enroll,Undeclared/Did Not Enroll,Not Enrolled
STU000577,19,Female,Bago,Rural,International School,Science,346.0,High School,0,867000.0,Yes,Advanced,No,Yes,4.7,22.5,No,No,Technological University,Engineering,Enrolled
STU005203,17,Male,Mandalay,Rural,Private High School,Science,382.0,Middle School,1,379000.0,Yes,Beginner,No,Yes,0.1,15.6,No,No,Government University,Natural Science,Enrolled
STU006364,17,Female,Bago,Urban,Private High School,Science,310.0,Postgraduate,3,639000.0,No,Advanced,No,No,8.1,3.2,No,No,Technological University,Engineering,Enrolled
STU000440,18,Female,Tanintharyi,Rural,Government High School,Arts,298.0,Middle School,1,260000.0,Yes,Beginner,Yes,No,4.0,37.9,No,No,University of Distance Education,Education,Enrolled
STU002751,17,Male,Mandalay,Rural,Private High School,Science,259.0,Middle School,3,583000.0,Yes,Intermediate,No,No,2.1,18.5,No,No,University of Distance Education,Natural Science,Enrolled
STU007488,17,Female,Mon,Rural,Government High School,Arts,355.0,University Graduate,1,186000.0,No,Beginner,No,No,2.1,22.7,Yes,No,Government University,Business & Economics,Enrolled
STU005273,19,Male,Yangon,Urban,Government High School,Arts,250.0,High School,1,380000.0,Yes,Beginner,Yes,No,8.7,10.32,No,No,University of Distance Education,Law,Enrolled
STU005654,18,Male,Sagaing,Urban,Government High School,Arts,215.0,Middle School,1,38635000.0,No,Beginner,Yes,Yes,5.9,11.08,No,No,Did Not Enroll,Undeclared/Did Not Enroll,Not Enrolled
STU004000,17,Female,Yangon,Rural,Government High School,Science,394.0,Primary School,2,,No,Beginner,Yes,Yes,6.7,1.8,Yes,No,Did Not Enroll,Undeclared/Did Not Enroll,Not Enrolled
STU006034,17,Female,Kayah,Urban,Government High School,Science,210.0,Middle School,2,858000.0,Yes,Advanced,Yes,No,8.8,8.32,No,No,University of Distance Education,Agriculture,Enrolled
STU000583,17,Female,Magway,Rural,Government High School,Science,266.0,High School,2,1051000.0,Yes,Intermediate,No,Yes,3.4,51.8,No,No,Technological University,Engineering,Enrolled
STU009931,17,Male,Shan,Rural,Government High School,Arts,264.0,Primary School,1,,No,Intermediate,Yes,No,6.1,26.7,No,No,Private University,Business & Economics,Enrolled
STU007052,17,Female,Mandalay,Rural,Monastic Education School,Arts,278.0,University Graduate,1,650000.0,Yes,Intermediate,Yes,No,3.4,25.4,Yes,No,University of Distance Education,Business & Economics,Enrolled
STU008159,17,Female,Shan,Rural,Government High School,Arts,,High School,2,114000.0,Yes,Advanced,No,Yes,6.7,35.9,Yes,No,Government University,Education,Enrolled
STU009897,18,Male,Bago,Urban,Government High School,Science,280.0,High School,2,261000.0,Yes,Beginner,No,No,4.0,1.8,Yes,No,Technological University,Engineering,Enrolled
STU002250,17,Male,Mandalay,Urban,Government High School,Science,331.0,University Graduate,4,,No,Intermediate,Yes,No,7.7,2.2800000000000002,No,No,Did Not Enroll,Undeclared/Did Not Enroll,Not Enrolled
STU004641,17,Female,Sagaing,Urban,Government High School,Science,340.0,High School,1,629000.0,Yes,Intermediate,No,Yes,8.5,10.040000000000001,No,No,Government University,Engineering,Enrolled
STU009486,17,Male,Rakhine,Rural,Monastic Education School,Arts,286.0,High School,2,135000.0,No,Intermediate,No,Yes,6.8,4.3,No,No,Government University,Business & Economics,Enrolled
STU004948,18,Male,Yangon,Urban,Monastic Education School,Science,302.0,High School,1,505000.0,Yes,Advanced,No,Yes,3.1,14.040000000000001,Yes,Yes,Government University,Engineering,Enrolled
STU009921,17,Female,Ayeyarwady,Rural,International School,Science,362.0,Primary School,2,,No,Advanced,Yes,No,6.6,6.9,No,No,Technological University,Engineering,Enrolled
STU001964,17,Male,Bago,Rural,Government High School,Science,170.0,Primary School,1,1262000.0,No,Beginner,No,No,7.1,5.8,Yes,Yes,Government University,Natural Science,Enrolled
STU008244,18,Male,Kayin,Urban,Government High School,Science,374.0,Middle School,0,1024000.0,No,Intermediate,No,Yes,6.4,1.0,No,No,Technological University,Engineering,Enrolled
